t	z	A	theta	lambda	theta_s	lambda_s
0.000000	2.034444	-0.000000	1.107149	0.000000	-0.000000	-3.141593
1000.000000	2.033201	-0.081308	1.107149	0.000000	-0.000080	3.068839
2000.000000	2.029325	-0.162409	1.107149	0.000000	-0.000159	2.996086
3000.000000	2.022854	-0.243097	1.107149	0.000000	-0.000239	2.923333
4000.000000	2.013844	-0.323183	1.107149	0.000000	-0.000319	2.850579
5000.000000	2.002375	-0.402494	1.107149	0.000000	-0.000398	2.777826
6000.000000	1.988546	-0.480888	1.107149	0.000000	-0.000478	2.705073
7000.000000	1.972470	-0.558251	1.107149	0.000000	-0.000557	2.632319
8000.000000	1.954276	-0.634496	1.107149	0.000000	-0.000637	2.559566
9000.000000	1.934099	-0.709572	1.107149	0.000000	-0.000717	2.486813
10000.000000	1.912081	-0.783456	1.107149	0.000000	-0.000796	2.414059
11000.000000	1.888376	-0.856152	1.107149	0.000000	-0.000876	2.341306
12000.000000	1.863132	-0.927689	1.107149	0.000000	-0.000956	2.268553
13000.000000	1.836502	-0.998122	1.107149	0.000000	-0.001035	2.195799
14000.000000	1.808639	-1.067520	1.107149	0.000000	-0.001115	2.123046
15000.000000	1.779694	-1.135972	1.107149	0.000000	-0.001194	2.050292
16000.000000	1.749817	-1.203578	1.107149	0.000000	-0.001274	1.977539
17000.000000	1.719154	-1.270450	1.107149	0.000000	-0.001354	1.904786
18000.000000	1.687849	-1.336710	1.107149	0.000000	-0.001433	1.832032
19000.000000	1.656046	-1.402484	1.107149	0.000000	-0.001513	1.759279
20000.000000	1.623886	-1.467902	1.107149	0.000000	-0.001593	1.686526
21000.000000	1.591507	-1.533100	1.107149	0.000000	-0.001672	1.613772
22000.000000	1.517382	-1.681089	1.104279	0.092709	-0.001752	1.541019
23000.000000	1.443403	-1.826399	1.095356	0.182432	-0.001831	1.468266
24000.000000	1.369889	-1.966953	1.080708	0.266486	-0.001911	1.395512
25000.000000	1.297170	-2.101379	1.060826	0.342887	-0.001991	1.322759
26000.000000	1.225587	-2.229119	1.036298	0.410438	-0.002070	1.250006
27000.000000	1.155510	-2.350329	1.007742	0.468629	-0.002150	1.177252
28000.000000	1.087336	-2.465708	0.975767	0.517468	-0.002230	1.104499
29000.000000	1.021492	-2.576304	0.940944	0.557285	-0.002309	1.031746
30000.000000	0.958450	-2.683337	0.903805	0.588574	-0.002389	0.958992
31000.000000	0.898716	-2.788062	0.864845	0.611889	-0.002468	0.886239
32000.000000	0.842831	-2.891655	0.824534	0.627770	-0.002548	0.813486
33000.000000	0.791358	-2.995116	0.783333	0.636726	-0.002628	0.740732
34000.000000	0.744862	-3.099159	0.741705	0.639219	-0.002707	0.667979
35000.000000	0.703878	3.079049	0.700123	0.635688	-0.002787	0.595226
36000.000000	0.668863	2.973241	0.659065	0.626562	-0.002867	0.522472
37000.000000	0.640152	2.867202	0.619005	0.612284	-0.002946	0.449719
38000.000000	0.617911	2.761977	0.580386	0.593331	-0.003026	0.376966
39000.000000	0.602107	2.658947	0.543597	0.570210	-0.003105	0.304212
40000.000000	0.592502	2.559623	0.508942	0.543455	-0.003185	0.231459
41000.000000	0.588679	2.465425	0.476625	0.513599	-0.003265	0.158706
42000.000000	0.590091	2.377482	0.446748	0.481158	-0.003344	0.085952
43000.000000	0.596121	2.296537	0.419318	0.446602	-0.003424	0.013199
44000.000000	0.606135	2.222910	0.394267	0.410347	-0.003504	-0.059554
45000.000000	0.619527	2.156564	0.371474	0.372743	-0.003583	-0.132308
46000.000000	0.635750	2.097191	0.350784	0.334082	-0.003663	-0.205061
47000.000000	0.654320	2.044302	0.332026	0.294596	-0.003742	-0.277815
48000.000000	0.674830	1.997322	0.315028	0.254472	-0.003822	-0.350568
49000.000000	0.696936	1.955641	0.299621	0.213854	-0.003902	-0.423321
50000.000000	0.720359	1.918659	0.285648	0.172857	-0.003981	-0.496075
51000.000000	0.744866	1.885818	0.272962	0.131568	-0.004061	-0.568828
52000.000000	0.770270	1.856602	0.261432	0.090055	-0.004140	-0.641581
53000.000000	0.796418	1.830558	0.250941	0.048370	-0.004220	-0.714335
54000.000000	0.823185	1.807282	0.241384	0.006553	-0.004300	-0.787088
55000.000000	0.850469	1.786418	0.232669	-0.035364	-0.004379	-0.859841
56000.000000	0.878189	1.767662	0.224712	-0.077358	-0.004459	-0.932595
57000.000000	0.906276	1.750746	0.217443	-0.119409	-0.004539	-1.005348
58000.000000	0.934673	1.735438	0.210796	-0.161504	-0.004618	-1.078101
59000.000000	0.963336	1.721540	0.204717	-0.203631	-0.004698	-1.150855
60000.000000	0.992225	1.708877	0.199156	-0.245781	-0.004777	-1.223608
61000.000000	1.021306	1.697301	0.194069	-0.287949	-0.004857	-1.296361
62000.000000	1.050557	1.686679	0.189417	-0.330128	-0.004937	-1.369115
63000.000000	1.079950	1.676895	0.185166	-0.372315	-0.005016	-1.441868
64000.000000	1.109467	1.667854	0.181287	-0.414508	-0.005096	-1.514621
65000.000000	1.139095	1.659464	0.177754	-0.456702	-0.005176	-1.587375
66000.000000	1.168814	1.651649	0.174542	-0.498898	-0.005255	-1.660128
67000.000000	1.198617	1.644341	0.171631	-0.541093	-0.005335	-1.732881
